"","x"
"1","10.1038/270301a0"
"2","10.1111/j.0014-3820.2001.tb00679.x"
"3","10.1134/s0006297918120106"
"4","10.1002/ece3.7115"
"5","10.7554/elife.62335"
"6","10.3389/fevo.2022.861103"
"7","10.1016/j.mad.2005.03.018"
"8","10.1098/rspb.2019.1604"
"9","10.1007/s10522-020-09856-0"
"10","10.18632/aging.101090"
"11","10.1172/jci64125"
"12","10.1155/2014/975872"
"13","10.1111/1567-1364.12095"
"14","10.2217/1745509x.2.2.229"
"15","10.1002/jemt.10408"
"16","10.1111/j.1474-9728.2004.00087.x"
"17","10.1016/j.nbt.2012.11.018"
"18","10.1111/1365-2656.13799"
"19","10.1093/beheco/arq187"
"20","10.1101/gr.074724.107"
"21","10.1016/s0531-5565(98)00071-0"
"22","10.1093/gerona/glaa078"
"23","10.1098/rspb.2018.2053"
"24","10.1134/s2079086412010045"
"25","10.1016/s0047-6374(02)00163-x"
"26","10.1111/j.1365-2656.2011.01842.x"
"27","10.1073/pnas.1400841111"
"28","10.1038/s41598-020-77082-2"
"29","10.1098/rsos.170665"
"30","10.1016/j.exger.2015.06.017"
"31","10.1007/s12110-020-09368-3"
"32","10.1038/ncomms13649"
"33","10.1186/1471-2407-15-s1-s1"
"34","10.1371/journal.pone.0087349"
"35","10.1073/pnas.0804550105"
"36","10.1007/s00239-019-09896-2"
"37","10.1016/s1534-5807(03)00242-9"
"38","10.1007/s11356-014-2932-6"
"39","10.1038/s41586-021-03822-7"
"40","10.1073/pnas.1918205117"
"41","10.1016/j.mad.2004.09.001"
"42","10.1016/s0378-4371(99)00342-8"
"43","10.1111/evo.14640"
"44","10.1093/molbev/msw072"
"45","10.1016/j.bcp.2021.114563"
"46","10.1006/jtbi.2002.2545"
"47","10.1016/j.fertnstert.2016.09.043"
"48","10.1007/s10646-011-0816-9"
"49","10.1371/journal.pone.0276112"
"50","10.1038/s42255-019-0097-9"
"51","10.1111/mec.17046"
"52","10.1186/1742-7622-2-10"
"53","10.1111/1365-2435.12538"
"54","10.1046/j.1464-410x.1998.0820s1047.x"
"55","10.3354/meps12532"
"56","10.1016/s0962-8924(00)89044-3"
"57","10.1111/j.1532-5415.1995.tb05819.x"
"58","10.1002/bies.201600049"
"59","10.1371/journal.pone.0011958"
"60","10.1016/j.abb.2015.01.029"
"61","10.1007/s10682-023-10243-7"
"62","10.1086/521241"
"63","10.1016/j.mad.2005.03.012"
"64","10.1073/pnas.2102088118"
"65","10.1016/j.it.2009.05.001"
"66","10.1016/j.exger.2012.12.004"
"67","10.1038/s41598-018-34391-x"
"68","10.2307/2061656"
"69","10.1007/s10522-015-9606-8"
"70","10.1007/s00360-019-01234-8"
"71","10.1371/journal.pcbi.0030256"
"72","10.1146/annurev.med.56.082103.104617"
"73","10.1038/s41559-020-01374-z"
"74","10.1371/journal.pone.0077389"
"75","10.1038/nature01135"
"76","10.1098/rspb.2021.2434"
"77","10.1016/j.mad.2005.02.006"
"78","10.1016/s0531-5565(02)00060-8"
"79","10.1046/j.1420-9101.1999.00037.x"
"80","10.7554/elife.74812"
"81","10.1111/acel.13443"
"82","10.1098/rspb.2016.1217"
"83","10.1111/1567-1364.12104"
"84","10.1016/0022-5193(82)90079-0"
"85","10.1111/evo.13127"
"86","10.1038/nature04958"
"87","10.1093/gbe/evab093"
"88","10.1016/j.jtbi.2014.07.015"
"89","10.1016/j.ijppaw.2019.09.010"
"90","10.5483/bmbrep.2021.54.5.198"
"91","10.1093/jcbiol/ruaa004"
"92","10.1038/s41514-018-0025-3"
"93","10.1111/j.1601-5223.1987.tb00239.x"
"94","10.1016/j.npg.2013.03.008"
"95","10.1016/j.bbadis.2017.05.028"
"96","10.1242/jeb.035188"
"97","10.1111/j.1474-9726.2007.00279.x"
"98","10.1111/evo.13172"
"99","10.1111/1365-2656.13422"
"100","10.1038/451644a"
"101","10.1016/j.semcdb.2017.05.012"
"102","10.1080/21624054.2016.1151609"
"103","10.1093/qjmed/hcp049"
"104","10.1111/j.0014-3820.2000.tb00076.x"
"105","10.1016/s0047-6374(01)00419-5"
"106","10.1038/s41576-019-0183-6"
"107","10.1111/acel.13120"
"108","10.1007/s10539-020-09765-z"
"109","10.1111/brv.12391"
"110","10.1086/677572"
"111","10.1111/j.1474-9726.2007.00287.x"
"112","10.1111/1365-2435.13444"
"113","10.1016/j.gene.2006.06.031"
"114","10.1111/febs.16463"
"115","10.1093/gerona/glw158"
"116","10.1046/j.1365-2435.2002.00685.x"
"117","10.1111/eth.12193"
"118","10.18632/aging.101269"
"119","10.1016/j.purol.2019.08.276"
"120","10.1093/beheco/ars179"
"121","10.1007/s00442-017-3913-5"
"122","10.1002/bies.201500025"
"123","10.1016/s1262-3636(05)73646-6"
"124","10.1111/j.1558-5646.2007.00094.x"
"125","10.1007/s10068-014-0225-y"
"126","10.1016/j.mrrev.2019.02.004"
"127","10.1126/science.220.4593.157"
"128","10.14411/eje.2010.043"
"129","10.1002/(sici)1520-6300(1996)8:6<703::aid-ajhb2>3.0.co;2-u"
"130","10.1371/journal.pone.0086602"
