"cited","citing"
"10.1073/pnas.71.10.4135","10.1073/pnas.1610917113"
"10.1073/pnas.71.10.4135","10.1016/j.devcel.2019.04.031"
"10.1073/pnas.71.10.4135","10.1038/s41586-020-2447-x"
"10.1073/pnas.71.10.4135","10.1103/physreve.63.031909"
"10.1073/pnas.71.10.4135","10.1002/cphc.202200644"
"10.1073/pnas.71.10.4135","10.1021/bi00505a025"
"10.1073/pnas.71.10.4135","10.1103/physreve.98.012420"
"10.1073/pnas.71.10.4135","10.1016/j.cell.2006.05.045"
"10.1073/pnas.71.10.4135","10.1016/j.cell.2005.10.032"
"10.1073/pnas.71.10.4135","10.1016/j.cell.2005.09.034"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)33149-6"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(18)67064-4"
"10.1073/pnas.71.10.4135","10.1074/jbc.m113.544429"
"10.1073/pnas.71.10.4135","10.1016/s0958-1669(02)00329-4"
"10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1979.tb02041.x"
"10.1073/pnas.71.10.4135","10.1038/nrm2023"
"10.1073/pnas.71.10.4135","10.1038/nrm1588"
"10.1073/pnas.71.10.4135","10.1021/ja3095558"
"10.1073/pnas.71.10.4135","10.3390/e20050368"
"10.1073/pnas.71.10.4135","10.3390/e20040306"
"10.1073/pnas.71.10.4135","10.1371/journal.pcbi.0030125"
"10.1073/pnas.71.10.4135","10.3390/genes2040998"
"10.1073/pnas.71.10.4135","10.3390/biom9100588"
"10.1073/pnas.71.10.4135","10.1007/s11538-013-9884-8"
"10.1073/pnas.71.10.4135","10.1016/j.jmb.2006.07.068"
"10.1073/pnas.71.10.4135","10.1016/j.jmb.2006.07.031"
"10.1073/pnas.71.10.4135","10.1073/pnas.1012051108"
"10.1073/pnas.71.10.4135","10.1016/j.devcel.2018.03.002"
"10.1073/pnas.71.10.4135","10.1016/j.devcel.2017.10.006"
"10.1073/pnas.71.10.4135","10.1016/j.devcel.2017.09.014"
"10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.11.4018"
"10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.10.037"
"10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.07.001"
"10.1073/pnas.71.10.4135","10.1016/j.tcb.2022.07.006"
"10.1073/pnas.71.10.4135","10.1038/382496a0"
"10.1073/pnas.71.10.4135","10.1088/1367-2630/acc757"
"10.1073/pnas.71.10.4135","10.1128/jb.00852-08"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(20)79678-x"
"10.1073/pnas.71.10.4135","10.1074/jbc.m704788200"
"10.1073/pnas.71.10.4135","10.1091/mbc.e17-06-0350"
"10.1073/pnas.71.10.4135","10.1039/c6mb00388e"
"10.1073/pnas.71.10.4135","10.1039/c5mb00055f"
"10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1977.tb11415.x"
"10.1073/pnas.71.10.4135","10.1063/1.5140714"
"10.1073/pnas.71.10.4135","10.1093/nar/gkt136"
"10.1073/pnas.71.10.4135","10.3390/ijms16059866"
"10.1073/pnas.71.10.4135","10.1016/s0300-9084(02)01409-8"
"10.1073/pnas.71.10.4135","10.1063/1.4967335"
"10.1073/pnas.71.10.4135","10.1021/jp004117l"
"10.1073/pnas.71.10.4135","10.4049/jimmunol.170.7.3769"
"10.1073/pnas.71.10.4135","10.1073/pnas.1602602113"
"10.1073/pnas.71.10.4135","10.1073/pnas.1608795113"
"10.1073/pnas.71.10.4135","10.1073/pnas.0503456102"
"10.1073/pnas.71.10.4135","10.1126/science.281.5376.568"
"10.1073/pnas.71.10.4135","10.1126/science.285.5436.2095"
"10.1073/pnas.71.10.4135","10.1126/science.1060612"
"10.1073/pnas.71.10.4135","10.1126/science.280.5363.541"
"10.1073/pnas.71.10.4135","10.1038/263289a0"
"10.1073/pnas.71.10.4135","10.1002/1099-1352(200101/02)14:1<42::aid-jmr518>3.0.co;2-8"
"10.1073/pnas.71.10.4135","10.1038/s41594-023-01078-5"
"10.1073/pnas.71.10.4135","10.1103/physrevresearch.5.023032"
"10.1073/pnas.71.10.4135","10.1103/physrevresearch.5.013170"
"10.1073/pnas.71.10.4135","10.1038/s41570-023-00558-y"
"10.1073/pnas.71.10.4135","10.1039/d0cp02422h"
"10.1073/pnas.71.10.4135","10.1021/acs.biochem.5b00122"
"10.1073/pnas.71.10.4135","10.1016/s0092-8674(00)80738-2"
"10.1073/pnas.71.10.4135","10.1042/bst0331460"
"10.1073/pnas.71.10.4135","10.1007/bf00986958"
"10.1073/pnas.71.10.4135","10.1007/bf00379994"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(18)45296-9"
"10.1073/pnas.71.10.4135","10.1016/j.tree.2005.11.008"
"10.1073/pnas.71.10.4135","10.1091/mbc.e14-02-0753"
"10.1073/pnas.71.10.4135","10.1002/pro.3190"
"10.1073/pnas.71.10.4135","10.1002/anie.201001436"
"10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1982.tb06516.x"
"10.1073/pnas.71.10.4135","10.1093/nar/gks1240"
"10.1073/pnas.71.10.4135","10.1016/0014-5793(83)80026-x"
"10.1073/pnas.71.10.4135","10.1016/0014-5793(88)81225-0"
"10.1073/pnas.71.10.4135","10.1016/0014-5793(75)80702-2"
"10.1073/pnas.71.10.4135","10.1002/ange.19850971206"
"10.1073/pnas.71.10.4135","10.1038/emboj.2008.243"
"10.1073/pnas.71.10.4135","10.2976/1.2909080"
"10.1073/pnas.71.10.4135","10.1016/j.nbt.2011.11.016"
"10.1073/pnas.71.10.4135","10.1103/physreve.90.022704"
"10.1073/pnas.71.10.4135","10.1103/physreve.89.062716"
"10.1073/pnas.71.10.4135","10.1103/physreve.89.062108"
"10.1073/pnas.71.10.4135","10.1073/pnas.2021860119"
"10.1073/pnas.71.10.4135","10.1073/pnas.0501062102"
"10.1073/pnas.71.10.4135","10.1146/annurev.biochem.66.1.679"
"10.1073/pnas.71.10.4135","10.1146/annurev.biochem.70.1.415"
"10.1073/pnas.71.10.4135","10.3390/ijms232314728"
"10.1073/pnas.71.10.4135","10.1007/bf02084158"
"10.1073/pnas.71.10.4135","10.1021/ci0400213"
"10.1073/pnas.71.10.4135","10.1126/science.abj2040"
"10.1073/pnas.71.10.4135","10.1039/c2cp42041d"
"10.1073/pnas.71.10.4135","10.1103/physreve.96.012405"
"10.1073/pnas.71.10.4135","10.1103/physreve.95.042408"
"10.1073/pnas.71.10.4135","10.1007/bf00369898"
"10.1073/pnas.71.10.4135","10.7554/elife.02218"
"10.1073/pnas.71.10.4135","10.7554/elife.02272"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(19)62669-4"
"10.1073/pnas.71.10.4135","10.1074/jbc.m611294200"
"10.1073/pnas.71.10.4135","10.1098/rsta.2016.0343"
"10.1073/pnas.71.10.4135","10.1039/c004635c"
"10.1073/pnas.71.10.4135","10.1101/sqb.2001.66.249"
"10.1073/pnas.71.10.4135","10.1101/sqb.2001.66.17"
"10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1978.tb20927.x"
"10.1073/pnas.71.10.4135","10.1080/15476286.2016.1256535"
"10.1073/pnas.71.10.4135","10.1093/nar/gks769"
"10.1073/pnas.71.10.4135","10.1093/nar/gkl586"
"10.1073/pnas.71.10.4135","10.3390/molecules200916643"
"10.1073/pnas.71.10.4135","10.1002/ange.202114581"
"10.1073/pnas.71.10.4135","10.1021/jp106657a"
"10.1073/pnas.71.10.4135","10.1063/1.4938009"
